force,tier,origin,type,n_signals,members,member_ids,lead_months,raw_r,partial_r_ctrl_market,beta_signal,survival,leads,smoothing_pass,holds_pass,is_comover,verdict,status,n,episode_pass,lead_class
Rubber and Plastic Products: Synthetic Rubbe,TIGHT,primary,single signal,1,Rubber and Plastic Products: Synthetic Rubbe,WPU0711,2,0.4818,-0.0991,,cycle-driven,yes,yes,yes,yes,CO-MOVER (not a lead),scored,699,,co-mover
Producer Price Index by Commodity: Metals an,TIGHT,primary,single signal,1,Producer Price Index by Commodity: Metals an,WPU10150227,0,0.1696,0.0922,,not cycle-driven (weak on its own),no,no,yes,yes,REJECTED,scored,394,,co-mover
Fuels and Related Products and Power: Asphal,TIGHT,primary,single signal,1,Fuels and Related Products and Power: Asphal,WPU058,0,0.5077,0.0902,,cycle-driven,no,yes,yes,yes,CO-MOVER (not a lead),scored,486,,co-mover
Consumer Sentiment,TIGHT,primary,single signal,1,Consumer Sentiment,UMCSENT,1,-0.2783,-0.0883,,cycle-driven,yes,yes,yes,yes,REJECTED,scored,612,,co-mover
Orders/demand complex,TIGHT,primary,cluster composite,6,"New orders: electrical equipment, New Orders: Machinery, New Orders: Fabricated Metal Products, New Orders: Durable Goods, New Orders: Total Manufacturing, New Orders: Nondefense Capital Goods Excludi",A35SNO;A33SNO;A32SNO;DGORDER;AMTMNO;NEWORDER,3,0.4818,-0.0831,0.9918,cycle-driven,yes,yes,yes,no,PARTIAL / INCONCLUSIVE,scored,397,yes,true lead
"Import Price Index (End Use): Nondurables, M",TIGHT,primary,single signal,1,Import Price Index,IR40,-24,0.1838,0.0831,,not cycle-driven (weak on its own),no,no,no,no,REJECTED,scored,415,,lags
Import prices complex,TIGHT,primary,cluster composite,4,"Chemicals and Allied Products, Import Price Index, Import Price Index, Import Price Index",WPU06;IR150;IR151;IR12,2,0.6976,0.0829,1.1319,cycle-driven,yes,yes,yes,yes,CO-MOVER (not a lead),scored,390,yes,co-mover
Import Price Index (End Use): Fish and Shell,TIGHT,primary,single signal,1,Import Price Index,IR01000,4,0.4496,0.0791,,cycle-driven,yes,yes,yes,no,PARTIAL / INCONCLUSIVE,scored,426,,true lead
Chemicals complex,TIGHT,primary,cluster composite,2,"Chemicals and Allied Products: Fats and Oils, Global price of Food index",WPU064;PFOODINDEXM,5,0.513,0.0634,2.0171,cycle-driven,yes,yes,yes,no,STRONG BUT CYCLE-DRIVEN,scored,396,yes,true lead
Industrial activity complex,TIGHT,primary,cluster composite,4,"New Orders: Primary Metals, Manufacturing: Durable Goods: Primary Metal, Manufacturing: Durable Goods: Iron and Steel, Manufacturing: Durable Goods: Primary Metal",A31SNO;IPG331S;IPG3311A2S;CAPUTLG331S,4,0.4433,-0.0576,1.3455,cycle-driven,yes,yes,yes,no,PARTIAL / INCONCLUSIVE,scored,396,yes,true lead
Manufacturers' Unfilled Orders: Ferrous Meta,TIGHT,primary,single signal,1,Manufacturers' Unfilled Orders: Ferrous Meta,A31CUO,2,0.2869,-0.0438,,cycle-driven,yes,no,yes,yes,REJECTED,scored,399,,co-mover
New Orders: Computers and Electronic Product,TIGHT,primary,single signal,1,New Orders: Computers and Electronic Product,A34SNO,3,0.235,0.0398,,cycle-driven,yes,no,yes,yes,REJECTED,scored,397,,co-mover
Chemicals complex,TIGHT,primary,cluster composite,3,"Chemicals and Allied Products: Industrial Ch, Chemicals and Allied Products: Plastic Resin, Chemicals and Allied Products: Basic Organic",WPU061;WPU066;WPU0614,3,0.6209,0.0296,1.9751,cycle-driven,yes,yes,yes,yes,CO-MOVER (not a lead),scored,615,yes,co-mover
Inflation Expectation,TIGHT,primary,single signal,1,Inflation Expectation,MICH,5,0.2897,-0.0256,,cycle-driven,yes,yes,yes,no,REJECTED,scored,564,,true lead
